类别,百科名,百科内容
志愿填报,降分投档,"<div class=""TRS_Editor""><p>　　根据教育部的规定：“有下列情形之一的考生，由省级招生委员会决定，可在高等学校调档分数线下适当降低分数要求投档，由学校审查决定是否录取。同一考生如符合多项降低分数要求投档条件的，只能取其中降低分数要求幅度最大的一项分值，且不得超过20分。</p>
<p>　　<strong>适用人群</strong></p>
<p>　　（1）边疆、山区、牧区、少数民族聚居地区的少数民族考生；</p>
<p>　　（2）归侨、华侨子女、归侨子女和台湾省籍考生；</p>
<p>　　（3）烈士子女。</p></div>
            "
志愿填报,高招档案,"<div class=""TRS_Editor""><p>　　<strong>定义</strong>  </p>
<p>　　参加高考的考生在考试前所要填充的关于个人信息的资料，也可能包括一些协议，例如高考诚信协议（一项促进考生文明守纪的协议书）。</p>
<p>　　<strong>内容 </strong></p>
<p>　　一般包括个人基本信息，如籍贯，出生日期，民族等等。</p>
<p>　　个人的主要经历：如小学、中学的地址，证明人。</p>
<p>　　个人的记录：如是否有不良记录。</p></div>
            "
志愿填报,调档比例,"<div class=""TRS_Editor""><p align=""justify"">　　是指某一院校调阅考生电子档案数与计划招生数的比例，在实行平等志愿的省份中，一般在105%-110%之间，并在各院校的《招生简章》予以公布。</p>
<p> </p>
<p> </p></div>
            "
志愿填报,梯度,"<div class=""TRS_Editor""><div class=""Custom_UnionStyle"">
<p align=""justify"">　　就是生活中常说的楼梯的台阶，有些楼梯两个台阶之间的高度差比较大，我们就说其梯度大；反之就其梯度小。在志愿填报中的梯度只表示两个或几个院校之间录取线差值的大小。</p>
<p align=""justify"">　　考生地选报志愿时要注意使院校与专业之间形成合理的梯度，以免造成滑档、进档退档或死档的风险。</p>
</div></div>
            "
志愿填报,志愿优先,"<div class=""TRS_Editor""><p align=""justify"">　　所谓志愿优先就是在报考该院校的考生中，首先考虑的是考生的专业志愿，也就是说先考虑第一专业志愿，再考虑第二专业志愿，依次类推。也叫“专业志愿清”。</p>
<p align=""justify"">　　比如一个考生未能达到第一专业志愿最低录取分数，将转入下面的专业志愿顺序，依次类推。如该专业前面已录满，不管该生分数多高，也不能进入该专业了。</p></div>
            "
志愿填报,分数优先,"<div class=""TRS_Editor""><p align=""justify"">　　所谓分数优先就是投档到该校的所有学生，从高分的学生开始依次按专业进行投档，也就是说，分数高的学生优先按专业顺序进行投档。也叫“分数清”。</p></div>
            "
志愿填报,大小年现象,"<div class=""TRS_Editor""><p align=""justify"">　　是某些院校在历年招生录取中，报考人数(批次最低控制线上)很不稳定、起伏较大，引起该校录取线较大幅度波动的趋势。</p></div>
            "
志愿填报,按大类招生,"<div class=""TRS_Editor""><p align=""justify"">　　就是将考生先按某一科类招进来，如工商管理类(包括工商管理、人力资源管理、会计学、财务管理、市场营销等专业)，大一、大二不分专业，统一学习专业基础课，大三时根据本人前期的考试成绩和意愿，再进行院系或专业的选择，这样做的主要目的是有利于人才的培养和发展。（具体分流以学校招生章程公布为准）</p></div>
            "
志愿填报,征集志愿与补录的区别,"<div class=""baikeArticle"">
							<p style=""text-align: left;"">　　征集志愿，是在招生过程中，原报考这个志愿的人数不够，只能通过再征集志愿，才能录取到计划招生的人数。而补录是在开学后，录取的学生放弃这个学校，在校生人数没有达到招生计划，再补充录取学生就叫补录。</p><p style=""text-align: left;"">　　其实在志愿录取期间，补录志愿与征集志愿的概念基本上是一样的，只是一般在录取结束新生开学时期的的补录，不再使用征集志愿的说法。</p>
							</div>"
志愿填报,志愿调剂,"<div class=""baikeArticle"">
							<p>　　志愿调剂是指同一批次中非第一志愿的,平行的五或六个志愿:如果第一志愿落选则考虑调剂志愿.平行志愿是指同一批次中非第一志愿的,不分先后的五或六个志愿.还有如""第一专业""""第二专业""等。</p>
							</div>"
新高考,新高考选科,"<div class=""TRS_Editor""><p>　　新高考如何选科，高校对选科有哪些要求，这些都是考生和家长关注的重点。中国教育在线高考频道根据北京、天津、山东、海南、浙江等省市公布的普通高校招生专业(类)选考科目要求，制作了高校在各省选科专题，供考生、家长和老师参考。</p>
<ul>
    <li><a title=""浙江2020年新高考高校招生选科要求"" id=""inner_doc_1621801"" target=""_blank"" _innerdocid=""1621801"" href=""https://www.eol.cn/e_html/gk/zjxk/index.shtml"">浙江2020年新高考高校招生选科要求</a></li>
    <li><a title=""北京2020年新高考高校招生选科要求"" id=""inner_doc_1621800"" target=""_blank"" _innerdocid=""1621800"" href=""https://www.eol.cn/e_html/gk/bjxk/index.shtml"">北京2020年新高考高校招生选科要求</a></li>
    <li><a title=""天津2020年新高考高校招生选科要求"" id=""inner_doc_1621776"" target=""_blank"" _innerdocid=""1621776"" href=""https://www.eol.cn/e_html/gk/tjxk/index.shtml"">天津2020年新高考高校招生选科要求</a></li>
    <li><a title=""山东2020年新高考高校招生选科要求"" id=""inner_doc_1621604"" target=""_blank"" _innerdocid=""1621604"" href=""https://www.eol.cn/e_html/gk/sdxk/index.shtml"">山东2020年新高考高校招生选科要求</a></li>
    <li><a title=""海南2020年新高考高校招生选科要求"" id=""inner_doc_1622699"" target=""_blank"" _innerdocid=""1622699"" href=""https://www.eol.cn/e_html/gk/hnxk/index.shtml"">海南2020年新高考高校招生选科要求</a></li>
    <li><a title=""上海2020年新高考高校招生选科要求"" id=""inner_doc_1624347"" target=""_blank"" _innerdocid=""1624347"" href=""https://www.eol.cn/e_html/gk/shxk/index.shtml"">上海2020年新高考高校招生选科要求</a> 　</li>
</ul></div>
            "
新高考,新高考平行志愿,"<div class=""TRS_Editor""><p>　　就在几日前，浙江省新高考招生录取方案正式向社会公布。按照方案要求，浙江省高校招生录取将不分批次，实行专业平行投档。录取分普通类、艺术类、体育类，普通类则分提前录取和平行录取。其中，平行录取改现行分批填报志愿和录取为按学生成绩分段填报志愿分段录取，以院校为单位的平行志愿则改为以专业(类)为单位的平行志愿。投档时，以考生符合所填报志愿的选考科目范围为前提，根据考生高考总分，实行专业平行志愿投档，直接投到考生所填报的具体院校的具体专业(类)。专业平行志愿，考生每次可填报志愿不超过80个。</p>
<p>　　80个啊，听起来是不是很多？确实不少。目前大学专业排名还没有最后公布，高考最后的语文和数学也还没考，填志愿的事情似乎对考生来说还无从考虑，但很多家长已经进入了研究状态，一些教育界的专家也站出来说了一些原则性的话，认为万变不离其综，既然是考大学，总上分数越高越有可能考上高级的大学，而且大学是距离就业最近的学习时机，所以，就需要充分地领会新高考所强调的专业的重要性，领会“专业第一”的基本概念。把握住三个原则，稳稳地走三步，就能轻松搞定80个志愿，把自己送进理想的、最适合的高校。</p>
<p>　　第一个原则是“喜欢”。首先要把自己最喜欢的专业放在最前面。这就要求考生在平时就要不断思考和探索自己的兴趣和爱好，增强对目标大学及专业的了解。对于有意向的大学和专业要有一个喜好程度的排序，不要过于计较往年投档分的高低。</p>
<p>　　第二个原则是“高低分”原则。就是在填报志愿时要参考往年的录取分数线，新高考改革目前还是在浙江省范围之内，高校的专业排名应该是一个长期积累的过程，不太可能有很大的变化，所以往年的录取分数线是一个很好的参考，依据高分在前、低分在后的规律，排出来，根据自己的成绩进行填报，就错不到哪里去。</p>
<p>　　第三个原则是“冲一冲”。既然有80个志愿可以填报，为了尽可能发挥出它的作用，就需要在同一批志愿里也分出档次，多找几个保底的平行志愿，当然，这些保底的志愿也是自己能接受的，这样就不会轻易地因为前面的志愿录不进就自动掉落到下一个档次的志愿，大大降低不录取的几率。这里需要了解的是，2017年是新高考政策的第一年，它的一个显著变化，是会造成许多考生进了原先以为进不了的学校，这对考生来说是很好的机遇。所以，如果你不是很在意掉落到下一档次的学校的话，就可以放大胆地冲一冲，多填几个平时觉得有点高攀的学校，或许，就真的进了呢？</p>
<p>　　<strong>具体该怎么做？有专家建议“三步走”:</strong></p>
<p>　　第一步，就是选择出30个左右的志愿冲学校。这是作为“冲”的志愿，那么适合的就是那些学校对你来说很不错、但往年的取分比较低的专业。这里需要有几个常识：比较偏远地区好学校的一般专业更容易爆冷门；在选考科目上提出单科选考科目要求的，因为有资格报考的考生大大减少，竞争程度往往会低一些；如果有明确考研意向的，可以选择一些取分相对较低基础学科，本科期间打下扎实基础，更有利于考研。你冲的是学校，对专业就不必过于纠结。专业不理想问题有两个饿解决的办法，一是进了高校再转专业，二是通过考研实现换专业。</p>
<p>　　第二步，选择30个左右最有可能被录取的志愿。考生可以在以行业发展的大前提下综合考虑自己的兴趣爱好、个性特长、家庭背景、就读城市等自己认为重要的要素，筛选出大学和专业间的最佳结合点。建议挑选出10所左右大学，每所大学选择3个专业，然后根据喜好程度、有梯度地排序。</p>
<p>　　第三步，选择20个左右志愿作为保底专业。针对这些志愿，我们在分数上是有较大优势的，最好的情况是学校很一般但专业和地域上有优势的那种学校和专业。这里能想象得到的是，按专业填报志愿后，热门专业会更热门，即使是那些在较低批次学校的热门专业，录取分数一般也会提高不少。</p>
<p>　　新高考扩大了考生选择权，相应地的，我们就需要提高选择的能力。近日，浙江省教育考试院推出了一个2017模拟演练填报系统，从1月18日到1月19日，，所有考生可以演练填报，1月20日到21日，则是总分达到一段线的考生演练填报。这个填报，都是虚拟的，只为了让大家熟悉填报规则，做到心中有数，等真的完成了语文和数学的最后高考，拿到了最终的高考分数，再面对我国招生的上千所高校的时候，面对几百个专业的时候，就不会太慌张，而是胸有成竹，马到成功。</p></div>
            "
新高考,院校专业组,"<div class=""TRS_Editor""><p align=""justify"">　　“院校专业组”由招生院校根据不同专业（含专业或大类）的科目要求和人才培养需要设置，是本科志愿填报与投档录取的基本单位。一所高校可设置一个或多个“院校专业组”，每个“院校专业组”内可包含数量不等的专业。在上海招生高校已于2015年公布了专业的选考科目要求，将按照“院校专业组”方式在上海开展招生。考生的选考科目只要有1门与该“院校专业组”科目要求相同，即具有填报资格。</p>
<p align=""justify"">　　同一高校的不同“院校专业组”之间互无关联，符合填报资格的考生可以填报某所高校的1个“院校专业组”，也可以填报同一所高校的多个不同的“院校专业组”；既可以连续填报同一所高校的不同“院校专业组”，也可以间隔填报同一所高校的不同“院校专业组”。</p></div>
            "
特殊招生,强基计划,"<div class=""TRS_Editor""><p>　　基础学科招生改革试点，也称强基计划，是教育部开展的招生改革工作，主要是为了选拔培养有志于服务国家重大战略需求且综合素质优秀或基础学科拔尖的学生。2020年1月13日，《教育部关于在部分高校开展基础学科招生改革试点工作的意见》印发，决定自2020年起，在部分高校开展基础学科招生改革试点。</p>
<p>　　<b>强基计划招生院校有哪些？    </b></p>
<p>　　起步阶段，在部分“一流大学”建设高校范围内遴选高校开展试点。2020年共有36所试点高校开展“强基计划”招生。  强基计划试点高校名单：北京大学、中国人民大学、清华大学、北京航空航天大学、北京理工大学、中国农业大学、北京师范大学、中央民族大学、南开大学、天津大学、大连理工大学、吉林大学、哈尔滨工业大学、复旦大学、同济大学、上海交通大学、华东师范大学、南京大学、东南大学、浙江大学、中国科学技术大学、厦门大学、山东大学、中国海洋大学、武汉大学、华中科技大学、中南大学、中山大学、华南理工大学、四川大学、重庆大学、电子科技大学、西安交通大学、西北工业大学、兰州大学、国防科技大学</p>
<p>　　<b>强基计划录取依据标是什么？</b></p>
<p>　　高校依据考生的高考成绩，按在各省（区、市）强基计划招生名额的一定倍数确定参加高校考核的考生名单。考生参加统一高考和高校考核后，高校将考生高考成绩、高校综合考核结果及综合素质评价情况等按比例合成考生综合成绩（其中高考成绩所占比例不得低于85%），根据考生填报志愿，按综合成绩由高到低顺序录取。</p>
<p>　　<b>通过强基计划录取的学生将来如何培养？ </b></p>
<p>　　强基计划将积极探索基础学科拔尖创新人才培养模式。高校通过强基计划录取的学生培养上，一是单独制定培养方案。单独编班，配备一流师资，提供一流学习条件，创造一流的学术环境与氛围，实行导师制、小班化培养。建立激励机制，增强学生的荣誉感和使命感。通过强基计划录取的学生入校后原则上不得转到相关学科之外的专业就读。</p>
<p>　　二是畅通成长发展通道。对学业优秀的学生，高校可在免试推荐研究生、直博、公派留学、奖学金等方面予以优先安排。探索建立本-硕-博衔接的培养模式。</p>
<p>　　三是推进科教协同育人。鼓励国家实验室、国家重点实验室、前沿科学中心、集成攻关大平台和协同创新中心等吸纳这些学生参与项目研究，探索建立结合重大科研任务的人才培养机制。</p>
<p>　　四是强化质量保障机制。建立科学化、多阶段的动态进出机制，对进入计划的学生进行综合考查、科学分流。建立在校生、毕业生跟踪调查机制和人才成长数据库，根据质量监测和反馈信息不断完善招生和人才培养方案。加强对学生的就业教育和指导，积极输送高素质后备人才。</p>
<p>　　<b>强基计划和原自主招生有哪些区别？</b></p>
<p>　　一是选拔定位不同。自主招生主要选拔“具有学科特长和创新潜质的学生”，而强基计划主要选拔“有志于服务国家重大战略需求且综合素质优秀或基础学科拔尖的学生”。</p>
<p>　　二是招生专业不同。自主招生未限定高校招生专业范围；强基计划突出基础学科的支撑引领作用，重点在数学、物理、化学、生物及历史、哲学、古文字学等相关专业安排招生。</p>
<p>　　三是入围校考的依据不同。自主招生的入围依据主要是考生的申请材料；强基计划的入围依据是考生高考成绩，极少数在相关学科领域具有突出才能和表现的考生，有关高校可制定破格入围高校考核的条件和办法，并提前向社会公布。</p>
<p>　　四是录取方式不同。自主招生采取降分录取的方式，最低可降至一本线；强基计划将考生高考成绩（不低于85%）、高校综合考核结果和综合素质评价等折算成综合成绩，从高到低顺序录取，体现对学生更加全面的考查。</p>
<p>　　五是培养模式不同。相关高校对自主招生录取的学生在培养方式上未作特殊安排；强基计划录取学生将实行小班化、导师制，并探索本—硕—博衔接的培养模式，畅通学生成长发展通道，实现招生培养良性互动。</p>
<p>　　<a href=""https://www.eol.cn/e_html/gk/qjjhjz/index.shtml"" target=""_blank"" style=""""><b>强基计划招生高校招生简章及报考指南</b></a></p></div>
            "
特殊招生,艺术类专业,"<div class=""TRS_Editor""><div class=""Custom_UnionStyle"">
<p align=""justify"">　<strong>　1.艺术类专业范围：</strong></p>
<p align=""justify"">　　《普通高等学校本科专业目录(2012年)》中“艺术学门类”下设各专业，以及《普通高等学校高等职业教育(专科)专业目录(2015年)》中“艺术设计类”“表演艺术类”下设各专业和“民族文化类”“广播影视类”等部分专业，统称为艺术类专业。</p>
<p align=""justify"">　　<strong>2.艺术类专业招生办法</strong>。</p>
<p align=""justify"">　　高校艺术类专业应综合考虑考生艺术专业成绩和高考文化成绩，择优选拔录取。同一高校同一专业(含同一专业下设各招考方向)应采用同一种录取办法。</p>
<p align=""justify"">　<strong>　3.艺术类专业考试。</strong></p>
<p align=""justify"">　　艺术类专业考试分为省级统考和校考。其中，省级统考由省级招生考试机构独立或联合组织，校考由招生院校组织。各省级招生考试机构应为本行政区域内考生组织美术学类和设计学类专业省级统考，有条件的省份还应组织其他艺术类专业省级统考，2019年要创造条件组织音乐类、舞蹈类、播音与主持艺术等专业(类)省级统考。省级统考已涵盖的专业，高校一般应直接使用统考成绩作为考生的专业考试成绩。确有必要补充考核的艺术类本科专业，高校应面向省级统考合格生源组织校考。省级统考未涵盖的艺术类专业，高校可组织校考。</p>
<p align=""justify"">　　<strong>4.艺术类专业高考文化成绩录取要求</strong>。</p>
<p align=""justify"">　　省级招生考试机构应因地制宜、分类划定艺术类各专业高考文化课成绩录取控制分数线。其中，艺术类本科专业高考文化课录取控制分数线不得低于本省(区、市)普通本科第二批次录取控制分数线的65%，逐步提高艺术学理论类、戏剧与影视学类(不含表演)有关本科专业高考文化课录取控制分数线，2019年起中央部门高校的相关专业不得低于普通专业所在批次控制分数线。艺术类高职(专科)专业录取控制分数线不得低于本省(区、市)普通高职(专科)录取控制分数线的70%。</p>
<p align=""justify"">　　<strong>5.艺术类专业投档模式</strong>。</p>
<p align=""justify"">　　艺术类专业录取工作安排在各省(区、市)相应普通本科、高职(专科)提前批次集中录取。</p>
<p align=""justify"">　　<strong>6.单独考试招生试点工作要求。</strong></p>
<p align=""justify"">　　按照遵循艺术教育规律、严格规范管理的原则，经教育部批准的部分独立设置的本科艺术院校的艺术类本科专业，可不编制分省分专业招生计划，可面向省级统考合格生源跨省组织专业校考，可自主划定高考文化成绩录取控制分数线。</p>
<p align=""justify"">　　7.凡艺术类专业录取的学生，入学后不得转入非艺术类专业。</p>
</div></div>
            "
特殊招生,体育类专业,"<div class=""TRS_Editor""><p align=""justify"">　　根据教育部《普通高等学校本科专业目录(2012年)》，教育学门类下设体育学类，其中包括体育教育、运动训练、社会体育指导与管理、武术与民族传统体育(注：原名民族传统体育)、运动人体科学等5个基本专业，还有运动康复(可授教育学或理学学士学位)和休闲体育两个特设专业。此外，在管理学门类的工商管理类下设有体育经济与管理专业。有些高校还开设了新闻学专业(体育新闻方向)。</p>
<p align=""justify"">　　在这些专业中，报考体育教育、社会体育指导与管理、休闲体育等专业的考生，除了参加普通高考文化课考试外，一般还要参加所在省(市、区)组织的体育类专业考试并取得合格成绩。体育类专业考试一般包括身体素质考试项目(100米跑、原地推铅球、800米跑等)和专项技术考试项目(田径、篮球、排球、足球、网球、羽毛球、乒乓球、体操、武术、游泳等)。部分省市还会组织面试。报考运动人体科学、体育经济与管理、新闻学(体育新闻方向)等专业的考生一般不必参加体育专业考试和面试，但须具备一定的体育运动基础。详见各省(市、区)当年体育类招生规定、办法等。</p>
<p align=""justify"">　　报考体育类专业的考生，要按生源所在省级招办要求参加高考报名、考试、填报志愿等工作。体育类本科专业一般在提前进行录取；体育类高职(专科)专业一般在高职(专科)提前批中进行录取。(各省批次设置有差异)报考运动人体科学、体育经济与管理、新闻学(体育新闻方向)等专业的考生要特别注意这些专业所在批次。(以生源所在省级招办公布的当年《普通高等学校招生专业目录》为准。)</p>
<p align=""justify"">　　各省级招生委员会划定并公布当年体育类专业最低文化控制分数线。</p>
<p align=""justify"">　　报考运动训练、武术与民族传统体育的考生，可参加单独招生考试。按往年政策，运动训练、武术与民族传统体育专业的招生实行文化考试和体育专项考试相结合的办法。</p>
<p align=""justify"">　　文化考试科目为语文、数学、政治、英语四科，各科试卷满分为150分，总分600分。 试卷由教育部考试中心组织命题印制；省级招生考试机构负责试卷接收和考试组织实施。所有考生必须参加高考报名所在地省级招生考试机构组织的文化考试。</p>
<p align=""justify"">　　体育专项考试满分100分，考试分项目采用全国统考和分区统考方式，由国家体育总局委托院校负责组织实施，执行国家体育总局制定的《普通高等学校运动训练、武术与民族传统体育专业体育专项考试方法与评分标准》。</p></div>
            "
特殊招生,高水平艺术团,"<div class=""TRS_Editor""><div class=""Custom_UnionStyle"">
<p align=""justify"">　　高水平艺术团招生是指部分高校为活跃校园文化、丰富校园生活而招收具有艺术特长的考生。其与高考艺术类专业招生并不是一回事。报考高水平艺术团的考生参加艺术测试合格后，可在高考时享受录取优惠政策，被高校录取后进入普通专业学习，并利用课余时间参加高校的文艺排练和演出。</p>
<p align=""justify"">　　艺术团招生主要招收艺术团首席表演者或对幼功要求高的相关专业项目的艺术团成员，不招收与艺术团无关的艺术特长生。已开设有艺术类专业的试点高校不再单独招收相应专业项目的艺术特长生，美术、书法、播音主持一般不纳入艺术团招生范围。目前，经教育部批准具有招生资格的高校共有53所，高水平艺术团的招生规模不超过试点高校上一年度本科招生计划的1%。</p>
<p align=""justify"">　　1.高水平艺术团招生范围</p>
<p align=""justify"">　　高校高水平艺术团招生主要招收艺术团首席表演者或对幼功要求高的相关专业项目的艺术团成员。已开设有艺术类专业的试点高校不再单独招收相应专业项目的艺术特长生(如高校已安排小提琴方向的艺术类专业招生，则艺术团不得再招收小提琴项目)，美术、书法、播音主持不宜纳入艺术团招生范围。</p>
<p align=""justify"">　　2.艺术团招生办法</p>
<p align=""justify"">　　考生根据试点高校确定的报名条件，提交材料并申请参加学校组织的艺术团相关项目专业测试。试点高校确定并公示合格考生名单及享受高考文化课成绩优惠的相应录取要求;按照本校公布的办法，择优录取专业测试合格、高考文化成绩达到相应录取要求的考生。艺术团招生规模不得超过试点高校上一年度本科招生计划的1%。</p>
<p align=""justify"">　　3.资格初审及测试</p>
<p align=""justify"">　　试点高校应明确考生报考资格条件，根据考生提交的相关资格证明、本人表演视频等材料，组织专业领域专家进行初审，择优确定参加考试的考生名单。</p>
<p align=""justify"">　　4. 高考文化课成绩录取要求</p>
<p align=""justify"">　　试点高校制订本校艺术团录取考生高考文化课成绩最低要求方案，一般不低于本校在生源省份本科第一批次最终模拟投档线下20分。对于少数艺术团测试成绩特别突出的考生，高校可适度降低高考文化课成绩录取要求，但不得低于生源省份本科第一批次录取控制分数线。</p>
<p align=""justify"">　　5.高水平艺术团管理</p>
<p align=""justify"">　　高校艺术团学生要接受所在院系和艺术团双重管理，既要按本专业培养方案完成专业学习任务，也要认真履行参加排练和演出的义务。试点高校要针对艺术团学生专门制订艺术团培养方案，将艺术团排练演出作为艺术团学生附加必修学分进行考核。</p>
</div></div>
            "
特殊招生,高水平运动队,"<div class=""TRS_Editor""><p align=""justify"">　　高水平运动员是针对文化课成绩优秀的专业运动员或具有专业运动员水平的考生设立的一种招生方式。招生院校以各省市重点院校为主，招收项目以世界大学生运动会、全国大学生运动会的运动项目为主，如田径、篮球、足球、乒乓球、排球、游泳、射击、武术套路、健美操、龙舟等。目前全国有279所高校具有招收高水平运动队资格。</p>
<p align=""justify"">　　报考高水平运动队的考生，专业测试采取全国统考、高校联考和高校校考相结合的组织方式。高考文化成绩一般不低于生源省份本科第二批次录取控制分数线；对于少数体育测试成绩特别突出的考生，高校可适度降低文化成绩录取要求，但不得低于生源省份本科第二批次录取控制分数线的65%。通常招收高水平运动员院校的招生简章会在1月左右陆续发布，然后需要考生在该校招生官网进行报名，学校会对报名申请者进行初审，初审合格者参加学校组织的复试，复试一般包括文化水平测试、体育专项测试。</p>
<p align=""justify"">　　<strong>报考高水平运动队须要具备哪些条件？</strong></p>
<p align=""justify"">　　1.考生需要参加高考报名。</p>
<p align=""justify"">　　2.符合普通高校年度招生工作规定的报名要求且具备以下条件之一者方可参加高水平运动员招生考试报名：</p>
<p align=""justify"">　　（1）高级中等教育学校毕业，获得国家二级运动员（含）以上证书且高中阶段在省级（含）以上比赛中获得集体项目前六名的主力队员或个人项目前三名者；</p>
<p align=""justify"">　　（2）具有高级中等教育毕业同等学力，获得国家一级运动员（含）以上证书者，或近三年内在全国（或国际）集体项目比赛中获得前八名的主力队员。</p>
<p align=""justify"">　　凡以同等学力报考的考生必须提供与高级中等教育相当的学习证明和成绩单，由省级教育行政部门协助招生院校对其资格进行认定。未经资格认定的同等学力考生不得报考。</p></div>
            "
特殊招生,高职单招,"<div class=""TRS_Editor""><div class=""Custom_UnionStyle"">
<p align=""justify"">　　高职院校单独招生(简称高职单招)是为贯彻落实《国务院关于大力发展职业教育的决定》精神，全面推进素质教育，突出高职教育特色，积极推进高考招生制度改革，选拔综合素质高和具有创新能力、实践能力、特殊才能的优秀高中毕业生进入高职院校学习而推出的重大政策，即高等职业教育院校根据自身专业教学需要设置考试科目，自主命题、考试、评卷、面试、录取。高职单招主要是本省院校面向本省考生进行招生，一旦被录取，就不需要参加6月份的高考了。</p>
<p align=""justify"">　　单招和统招的区别：　　</p>
<p align=""justify"">　　1.考试时间不一样，普通高考为6月份，高职单招一般在3月份。　　</p>
<p align=""justify"">　　2.统招是指统一招生考试，国家计划内统一招录。目前的普通高校高考（包括中职的单考单招）。通过参加由教育部组织的高考并被录取，毕业后由教育部颁发认证文凭的考生，包括本科生和专科生。单招考试是由省（市）考试院统一组织，各试点单招学校独立命题、自主组织测试。</p>
</div></div>
            "
特殊招生,国家专项计划,"<div class=""TRS_Editor""><p align=""justify"">　　国家专项计划是面向农村贫困地区定向招生专项计划的简称，由中央部门高校和省属重点高校承担。</p>
<p align=""justify"">　　国家专项计划申报资格 ：</p>
<p align=""justify"">　　(1)在户籍所在县（市、区）报名，并符合年统一高考报名条件；</p>
<p align=""justify"">　　(2)本人具有实施区域当地连续3年以上户籍，其父亲或母亲或法定监护人具有当地户籍；</p>
<p align=""justify"">　　(3)本人具有户籍所在县（市、区）高中连续3年学籍并实际就读。</p>
<p align=""justify"">　　申报国家专项计划须同时具备以上3项条件。批次安排在提前特殊类型批和本科提前批B，执行的文化控制线分别由各高校自行确定。</p></div>
            "
特殊招生,高校专项计划,"<div class=""TRS_Editor""><div class=""Custom_UnionStyle"">
<p align=""justify"">　　高校专项计划，又称“农村学生单独招生”，旨在帮助成绩优良的农村学生更畅通地考上“好大学”。高校专项计划主要招收边远、贫困、民族等地区县（含县级市）以下高中勤奋好学、成绩优良的农村学生。全国有95所高校承担高校专项计划，全部使用高校专项计划报名系统报名。</p>
<p align=""justify"">　　高校专项计划申报资格：</p>
<p align=""justify"">　　(1)在户籍所在县（市、区）报名，并符合统一高考报名条件；</p>
<p align=""justify"">　　(2)本人及父亲或母亲或法定监护人户籍地在实施区域的农村，本人具有当地连续3年以上户籍；</p>
<p align=""justify"">　　(3)本人具有户籍所在县（市、区）高中连续3年学籍并实际就读。</p>
<p align=""justify"">　　申报高校专项计划须同时具备以上3项条件。批次安排在本一特殊类型批，计划性质为“非定向”，只设一志愿，只能填报1院校，录取分数原则上不低于有关高校所在批次同科类录取控制分数线。</p>
<p align=""justify"">　　经有关高校考核合格且在教育部“阳光高考”信息平台公示无异议的考生方可填报。不按上述规定填报的志愿将视为无效志愿。</p>
<p align=""justify"">　　<strong>特别提醒</strong>：</p>
<p align=""justify"">　　一些院校的高校专项计划不分省，考生全国排队，择优录取；还有一些院校计划分省或部分计划分省，分省排队。详情请考生咨询招生院校。</p>
</div></div>
            "
特殊招生,地方专项计划,"<div class=""TRS_Editor""><div class=""Custom_UnionStyle"">
<p align=""justify"">　　地方专项计划，是省属重点高校定向招收本省实施区域农村学生的简称，由省属重点高校承担，实施区域为县。</p>
<p align=""justify"">　　地方专项计划申报资格：</p>
<p align=""justify"">　　(1)在户籍所在县（市、区）报名，并符合2018年统一高考报名条件；</p>
<p align=""justify"">　　(2)本人及父亲或母亲或法定监护人的户籍在实施区域的农村且本人具有当地连续3年以上户籍；</p>
<p align=""justify"">　　(3)本人具有户籍所在县（市、区）高中连续3年学籍并实际就读。</p>
<p align=""justify"">　　申报地方专项计划须同时具备以上3项条件。</p>
</div></div>
            "
特殊招生,公费师范生,"<div class=""TRS_Editor""><p align=""justify"">　　师范生公费教育是指国家在北京师范大学、华东师范大学、东北师范大学、华中师范大学、陕西师范大学和西南大学六所教育部直属师范大学面向师范专业本科生实行的，由中央财政承担其在校期间学费、住宿费并给予生活费补助的培养管理制度。</p>
<p align=""justify"">　　按照《教育部直属师范大学师范生公费教育实施办法》，国家公费师范生享受免缴学费、住宿费和补助生活费政策，通过双向选择等方式切实为每位毕业的公费师范生落实任教学校和岗位。</p>
<p align=""justify"">　　公费师范生毕业后一般回生源所在省份中小学任教，并承诺从事中小学教育工作6年以上。到城镇学校工作的公费师范生，应到农村义务教育学校任教服务至少1年。国家鼓励公费师范生长期从教、终身从教。</p></div>
            "
特殊招生,保送生,"<div class=""TRS_Editor""><p align=""justify"">　　是应届毕业的省级优秀学生、全国中学生奥赛集训队及国内国际著名大赛获得者，按条件或程序、相关政策保送到高等院校，并在其所在学校进行公示，接受社会监督，已录取的保送生原则上不再参加高考。</p></div>
            "
特殊招生,军、警校生,"<div class=""TRS_Editor""><div class=""Custom_UnionStyle"">
<p align=""justify"">　　军校生一般是指在军事院校求学的学生。在校期间享受军人待遇，并计算军龄，毕业后直接面向军队安排工作，按照就业岗位的不同，分为指挥类和非指挥类两种。</p>
<p align=""justify"">　　公安院校招生是国家针对警察专业培养目标与选拔要求，而设置的一种特殊招生模式。公安院校招生包括普通公安院校招生(含定向培养特殊公安专业人才招生)、现役公安院校招生。</p>
</div></div>
            "
